@relation bank-weka.filters.unsupervised.attribute.NumericToNominal-R1

@attribute sex {MALE,FEMALE}
@attribute region {INNER_CITY,RURAL,TOWN,SUBURBAN}
@attribute income numeric
@attribute married {YES,NO}
@attribute children {YES,NO}
@attribute car {YES,NO}
@attribute mortgage {YES,NO}
@attribute pep {YES,NO}
@attribute age {**}

@data
MALE,TOWN,37330.5,NO,YES,NO,NO,YES,**
MALE,INNER_CITY,25333.2,YES,YES,YES,YES,NO,**
FEMALE,INNER_CITY,37094.2,YES,NO,YES,NO,NO,**
MALE,TOWN,33630.6,NO,YES,YES,NO,YES,**
MALE,INNER_CITY,43228.2,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,47796.8,YES,NO,NO,NO,NO,**
FEMALE,TOWN,21730.3,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,10044.1,YES,YES,NO,YES,NO,**
MALE,TOWN,17270.1,NO,NO,YES,NO,YES,**
FEMALE,RURAL,45765,YES,YES,YES,NO,YES,**
MALE,RURAL,29525.5,NO,YES,NO,YES,NO,**
FEMALE,RURAL,54863.8,YES,YES,YES,NO,YES,**
FEMALE,TOWN,20799,YES,YES,NO,YES,YES,**
FEMALE,RURAL,33028.3,NO,YES,NO,NO,YES,**
MALE,RURAL,45031.9,NO,YES,YES,NO,YES,**
MALE,INNER_CITY,39010.8,YES,YES,NO,NO,YES,**
FEMALE,TOWN,25257.7,YES,NO,YES,NO,NO,**
FEMALE,INNER_CITY,42603.9,YES,NO,NO,NO,NO,**
MALE,TOWN,14092.7,YES,YES,YES,NO,NO,**
FEMALE,RURAL,21350.3,NO,NO,YES,NO,YES,**
MALE,INNER_CITY,23246.4,NO,YES,NO,NO,NO,**
MALE,RURAL,41609.5,YES,YES,NO,YES,NO,**
FEMALE,SUBURBAN,16716.1,NO,YES,YES,NO,NO,**
FEMALE,SUBURBAN,36436.4,YES,NO,YES,NO,NO,**
FEMALE,TOWN,59503.8,YES,YES,YES,YES,YES,**
FEMALE,TOWN,31334.8,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,14048.9,YES,YES,YES,YES,NO,**
FEMALE,INNER_CITY,39205.3,NO,NO,NO,NO,YES,**
FEMALE,RURAL,42173.9,YES,NO,NO,NO,NO,**
FEMALE,INNER_CITY,55263,NO,YES,NO,NO,YES,**
MALE,INNER_CITY,37095.2,YES,YES,NO,NO,NO,**
FEMALE,INNER_CITY,22791.4,YES,NO,NO,NO,NO,**
FEMALE,TOWN,17240.6,YES,YES,YES,YES,NO,**
MALE,TOWN,48974.8,YES,NO,YES,YES,NO,**
MALE,INNER_CITY,18923,YES,YES,NO,NO,YES,**
MALE,SUBURBAN,51204.2,YES,NO,NO,YES,YES,**
MALE,TOWN,20236.2,YES,YES,YES,NO,NO,**
FEMALE,INNER_CITY,18860.3,NO,YES,NO,NO,NO,**
MALE,RURAL,25732.5,YES,NO,YES,NO,NO,**
FEMALE,SUBURBAN,28240.4,YES,YES,YES,NO,NO,**
MALE,RURAL,28193.6,YES,YES,YES,NO,YES,**
MALE,TOWN,36432.8,NO,YES,YES,NO,YES,**
MALE,TOWN,54618.8,YES,YES,NO,YES,YES,**
MALE,INNER_CITY,24760.8,YES,YES,NO,YES,YES,**
MALE,RURAL,23356.1,NO,YES,YES,NO,NO,**
FEMALE,SUBURBAN,8143.75,YES,YES,NO,NO,YES,**
MALE,TOWN,26462.5,YES,NO,YES,NO,NO,**
MALE,RURAL,20467.3,YES,YES,YES,NO,NO,**
FEMALE,TOWN,21506.2,YES,NO,NO,NO,YES,**
FEMALE,TOWN,15315.3,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,18875.7,YES,YES,YES,NO,NO,**
FEMALE,INNER_CITY,12977.2,YES,NO,NO,NO,NO,**
FEMALE,TOWN,20708.5,NO,YES,NO,NO,NO,**
FEMALE,TOWN,7549.38,NO,YES,YES,NO,NO,**
FEMALE,INNER_CITY,24904,YES,NO,NO,NO,NO,**
MALE,RURAL,24071.8,YES,YES,NO,YES,YES,**
MALE,TOWN,9589.91,NO,YES,NO,YES,NO,**
MALE,INNER_CITY,8562.86,NO,YES,NO,YES,NO,**
FEMALE,TOWN,26707.5,NO,NO,YES,NO,NO,**
MALE,INNER_CITY,34020.5,YES,NO,NO,NO,NO,**
MALE,INNER_CITY,49175.7,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,19726.3,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,24346.6,YES,YES,YES,NO,NO,**
MALE,RURAL,26999.4,YES,YES,YES,NO,YES,**
FEMALE,TOWN,41558.1,YES,YES,NO,NO,YES,**
FEMALE,INNER_CITY,56340.3,NO,NO,NO,NO,YES,**
MALE,TOWN,37558.5,YES,NO,YES,NO,NO,**
FEMALE,INNER_CITY,30099.3,YES,NO,YES,YES,YES,**
MALE,INNER_CITY,15254.8,YES,NO,NO,NO,YES,**
MALE,INNER_CITY,36086.1,YES,YES,NO,NO,YES,**
FEMALE,INNER_CITY,17655,YES,YES,NO,YES,YES,**
MALE,RURAL,56658.9,NO,NO,NO,NO,YES,**
FEMALE,INNER_CITY,37706.5,NO,NO,YES,YES,NO,**
FEMALE,INNER_CITY,18516,YES,YES,YES,YES,NO,**
FEMALE,INNER_CITY,29622,NO,NO,YES,YES,NO,**
MALE,RURAL,32669.9,YES,YES,YES,YES,YES,**
FEMALE,INNER_CITY,18275.5,YES,NO,NO,YES,YES,**
FEMALE,TOWN,34410,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,34866.9,YES,YES,YES,YES,NO,**
FEMALE,INNER_CITY,21796.6,YES,NO,NO,NO,NO,**
FEMALE,SUBURBAN,63130.1,YES,YES,YES,NO,YES,**
MALE,INNER_CITY,14996.4,YES,YES,YES,NO,NO,**
FEMALE,RURAL,49024.9,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,16249.8,YES,NO,YES,YES,YES,**
MALE,SUBURBAN,36192.1,YES,YES,YES,NO,YES,**
MALE,INNER_CITY,17839.9,YES,YES,NO,YES,YES,**
FEMALE,INNER_CITY,18802.4,NO,NO,NO,YES,YES,**
MALE,INNER_CITY,48720.3,YES,YES,YES,NO,YES,**
MALE,INNER_CITY,14585.9,NO,YES,NO,YES,NO,**
FEMALE,INNER_CITY,20819,YES,NO,NO,NO,YES,**
FEMALE,RURAL,19481.3,NO,NO,NO,YES,YES,**
MALE,RURAL,19563.8,NO,YES,YES,YES,NO,**
MALE,INNER_CITY,38598.4,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,20754.3,NO,NO,NO,YES,YES,**
FEMALE,INNER_CITY,13864.6,YES,YES,NO,NO,YES,**
MALE,SUBURBAN,36599,YES,YES,YES,NO,YES,**
MALE,SUBURBAN,45856.1,NO,YES,NO,NO,YES,**
MALE,SUBURBAN,22362.3,NO,NO,NO,NO,YES,**
FEMALE,SUBURBAN,21984,YES,YES,YES,NO,YES,**
MALE,SUBURBAN,11073,YES,YES,NO,NO,NO,**
FEMALE,INNER_CITY,18158.5,NO,YES,YES,YES,YES,**
MALE,INNER_CITY,7304.2,NO,NO,YES,YES,NO,**
FEMALE,INNER_CITY,58092,NO,YES,YES,NO,YES,**
FEMALE,INNER_CITY,16518.6,YES,NO,YES,NO,YES,**
FEMALE,SUBURBAN,46461.5,YES,NO,NO,NO,NO,**
MALE,RURAL,20058.7,YES,NO,NO,YES,NO,**
MALE,INNER_CITY,12533.2,NO,YES,NO,YES,NO,**
MALE,RURAL,22848.5,YES,YES,YES,NO,YES,**
FEMALE,TOWN,25699.4,YES,YES,YES,NO,YES,**
MALE,TOWN,21612.6,YES,NO,NO,YES,NO,**
MALE,INNER_CITY,48950.9,YES,NO,YES,YES,NO,**
MALE,INNER_CITY,41438,NO,YES,NO,NO,YES,**
MALE,INNER_CITY,11411,YES,YES,YES,NO,NO,**
FEMALE,INNER_CITY,43940.6,YES,NO,YES,NO,NO,**
MALE,TOWN,17239.5,NO,YES,YES,NO,YES,**
FEMALE,RURAL,30488.7,YES,NO,NO,NO,NO,**
FEMALE,TOWN,29866.3,YES,YES,NO,NO,NO,**
FEMALE,INNER_CITY,32184.4,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,17308.7,YES,YES,YES,YES,YES,**
MALE,RURAL,27863.9,NO,YES,NO,YES,NO,**
MALE,TOWN,28920.6,YES,NO,NO,YES,NO,**
FEMALE,TOWN,58367.3,YES,YES,YES,NO,YES,**
MALE,TOWN,16849.3,NO,NO,YES,YES,NO,**
FEMALE,RURAL,28138.5,YES,NO,NO,YES,YES,**
MALE,INNER_CITY,23038.2,YES,NO,YES,NO,NO,**
MALE,TOWN,11736.9,NO,YES,YES,YES,NO,**
MALE,INNER_CITY,16479.5,YES,NO,YES,YES,YES,**
FEMALE,INNER_CITY,31415.7,NO,YES,YES,YES,YES,**
FEMALE,SUBURBAN,12117.3,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,15417.1,YES,YES,YES,NO,NO,**
MALE,INNER_CITY,29414.6,YES,YES,NO,YES,YES,**
MALE,INNER_CITY,44682.1,YES,NO,YES,NO,NO,**
FEMALE,RURAL,36281,YES,NO,YES,NO,NO,**
MALE,TOWN,33302.8,NO,NO,YES,YES,YES,**
FEMALE,RURAL,15797.1,YES,NO,NO,NO,YES,**
MALE,RURAL,31864.8,YES,NO,YES,NO,NO,**
FEMALE,TOWN,43719.5,YES,NO,NO,NO,NO,**
FEMALE,TOWN,30799.5,YES,YES,NO,NO,YES,**
MALE,RURAL,48971.6,YES,YES,YES,NO,YES,**
FEMALE,RURAL,34061.4,NO,NO,YES,NO,YES,**
MALE,INNER_CITY,28938.6,YES,YES,YES,NO,NO,**
MALE,TOWN,38540,NO,NO,YES,YES,NO,**
FEMALE,INNER_CITY,27045.1,NO,NO,NO,NO,YES,**
FEMALE,RURAL,51284.3,NO,NO,YES,YES,NO,**
MALE,INNER_CITY,16352.2,NO,NO,NO,YES,NO,**
FEMALE,INNER_CITY,11866.4,YES,NO,YES,NO,NO,**
FEMALE,TOWN,13267.6,YES,NO,YES,YES,NO,**
FEMALE,INNER_CITY,61554.6,YES,NO,NO,NO,NO,**
MALE,SUBURBAN,13700.2,NO,YES,NO,NO,NO,**
MALE,TOWN,46963.9,YES,YES,NO,NO,YES,**
MALE,INNER_CITY,23475.6,YES,NO,YES,YES,YES,**
FEMALE,SUBURBAN,24554.1,YES,NO,YES,YES,NO,**
FEMALE,INNER_CITY,18050,YES,NO,YES,YES,YES,**
FEMALE,RURAL,15237.6,YES,YES,YES,NO,NO,**
MALE,TOWN,20555,NO,NO,YES,NO,YES,**
FEMALE,TOWN,28421.7,YES,YES,YES,YES,NO,**
MALE,INNER_CITY,21876.5,YES,NO,NO,NO,NO,**
FEMALE,SUBURBAN,12810.2,NO,YES,NO,NO,YES,**
MALE,SUBURBAN,15109.4,YES,NO,NO,NO,YES,**
MALE,TOWN,37414.7,NO,YES,YES,NO,NO,**
FEMALE,INNER_CITY,41521.6,YES,NO,NO,YES,NO,**
FEMALE,INNER_CITY,25372.8,YES,NO,YES,NO,NO,**
MALE,INNER_CITY,21139.8,YES,YES,YES,NO,NO,**
FEMALE,TOWN,27757.6,NO,NO,NO,NO,YES,**
FEMALE,TOWN,22678.1,NO,YES,YES,YES,YES,**
FEMALE,TOWN,12178.5,YES,YES,NO,YES,NO,**
MALE,RURAL,26106.7,NO,YES,NO,NO,YES,**
MALE,INNER_CITY,27417.6,YES,NO,NO,YES,NO,**
MALE,TOWN,23337.2,YES,YES,NO,YES,NO,**
MALE,TOWN,43395.5,NO,YES,YES,NO,YES,**
MALE,RURAL,11536.2,YES,YES,NO,YES,NO,**
MALE,INNER_CITY,44658.6,NO,YES,YES,NO,YES,**
MALE,RURAL,32762.5,NO,NO,NO,YES,NO,**
MALE,RURAL,16403.8,YES,NO,YES,NO,NO,**
FEMALE,INNER_CITY,21184.7,YES,YES,YES,NO,YES,**
FEMALE,INNER_CITY,49917.3,YES,NO,YES,YES,NO,**
FEMALE,TOWN,21623.8,YES,NO,NO,YES,NO,**
MALE,RURAL,16625.9,YES,YES,NO,NO,YES,**
FEMALE,TOWN,14014.5,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,20409.3,YES,YES,NO,NO,YES,**
FEMALE,INNER_CITY,31671.3,YES,YES,YES,YES,YES,**
FEMALE,TOWN,17149.2,NO,YES,YES,NO,YES,**
FEMALE,TOWN,27756.3,YES,NO,YES,YES,YES,**
MALE,INNER_CITY,40949.9,NO,NO,NO,NO,YES,**
FEMALE,RURAL,43743.2,YES,YES,NO,NO,NO,**
MALE,INNER_CITY,38459.9,YES,NO,NO,YES,YES,**
MALE,TOWN,40972.9,NO,YES,YES,YES,YES,**
MALE,INNER_CITY,46587.9,NO,NO,NO,NO,YES,**
FEMALE,TOWN,43799.6,NO,NO,NO,YES,NO,**
FEMALE,TOWN,18912.2,YES,NO,YES,NO,YES,**
